trip_id,subscriber_type,bike_id,bike_type,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
18634042,Walk Up,963,classic,2018-09-22 17:20:52.000000 UTC,3798,21st & Speedway @PCL,4051,10th & Red River,2254
19227322,U.T. Student Membership,197,classic,2019-01-28 16:41:47.000000 UTC,3797,21st & University,4051,10th & Red River,9
19319759,U.T. Student Membership,124,classic,2019-02-26 18:29:21.000000 UTC,3797,21st & University,4051,10th & Red River,12
19443249,U.T. Student Membership,174,classic,2019-03-26 15:49:35.000000 UTC,3797,21st & University,4051,10th & Red River,12
19340398,U.T. Student Membership,066G,classic,2019-03-06 12:32:41.000000 UTC,3797,21st & University,4051,10th & Red River,9
19454753,U.T. Student Membership,15056E,electric,2019-03-28 14:07:16.000000 UTC,3797,21st & University,4051,10th & Red River,8
19525954,U.T. Student Membership,373,classic,2019-04-09 14:17:30.000000 UTC,3797,21st & University,4051,10th & Red River,9
19575212,U.T. Student Membership,263,classic,2019-04-17 15:50:28.000000 UTC,3797,21st & University,4051,10th & Red River,11
19770894,U.T. Student Membership,309G,classic,2019-05-15 20:47:36.000000 UTC,3797,21st & University,4051,10th & Red River,9
19841755,Single Trip ,1639,classic,2019-05-26 14:29:28.000000 UTC,3792,22nd & Pearl,4051,10th & Red River,39
18413368,U.T. Student Membership,572,classic,2018-08-31 18:08:45.000000 UTC,3792,22nd & Pearl,4051,10th & Red River,31
18413364,U.T. Student Membership,983,classic,2018-08-31 18:08:37.000000 UTC,3792,22nd & Pearl,4051,10th & Red River,31
18903321,U.T. Student Membership,52,classic,2018-10-29 13:57:16.000000 UTC,3841,23rd & Rio Grande,4051,10th & Red River,15
18533594,U.T. Student Membership,230,classic,2018-09-12 18:25:45.000000 UTC,3799,23rd & San Jacinto @ DKR Stadium,4051,10th & Red River,12
18540200,U.T. Student Membership,414,classic,2018-09-13 13:13:15.000000 UTC,3799,23rd & San Jacinto @ DKR Stadium,4051,10th & Red River,10
18730603,U.T. Student Membership,2188,classic,2018-10-03 17:52:06.000000 UTC,3799,23rd & San Jacinto @ DKR Stadium,4051,10th & Red River,11
18981988,U.T. Student Membership,066G,classic,2018-11-14 14:16:23.000000 UTC,3799,23rd & San Jacinto @ DKR Stadium,4051,10th & Red River,10
18267314,Walk Up,329,classic,2018-08-16 17:24:14.000000 UTC,2494,2nd & Congress,4051,10th & Red River,8
18530481,Local365,610,classic,2018-09-12 14:30:21.000000 UTC,2494,2nd & Congress,4051,10th & Red River,8
19415791,Local365+Guest Pass,15027E,electric,2019-03-21 18:37:42.000000 UTC,2552,3rd & West,4051,10th & Red River,11
18684697,Local365,1583,classic,2018-09-28 08:51:07.000000 UTC,2552,3rd & West,4051,10th & Red River,11
19197093,3-Day Explorer,15063E,electric,2019-01-17 22:02:41.000000 UTC,2495,4th & Congress,4051,10th & Red River,12
19197094,3-Day Explorer,15059E,electric,2019-01-17 22:03:14.000000 UTC,2495,4th & Congress,4051,10th & Red River,11
18421809,Walk Up,262,classic,2018-09-01 14:43:28.000000 UTC,2495,4th & Congress,4051,10th & Red River,37
18421832,Walk Up,922,classic,2018-09-01 14:44:50.000000 UTC,2495,4th & Congress,4051,10th & Red River,37
18761983,3-Day Weekender,872,classic,2018-10-07 15:42:27.000000 UTC,2495,4th & Congress,4051,10th & Red River,13
18762006,3-Day Weekender,229G,classic,2018-10-07 15:44:57.000000 UTC,2495,4th & Congress,4051,10th & Red River,11
18761993,3-Day Weekender,509,classic,2018-10-07 15:43:35.000000 UTC,2495,4th & Congress,4051,10th & Red River,12
19342050,U.T. Student Membership,15056E,electric,2019-03-06 20:15:21.000000 UTC,4050,5th & Campbell,4051,10th & Red River,11
