,rank,video,video_views,likes,dislikes,category,published
66,67,2020新生活CP「始まりの日」15秒,"9,857,163",13,0,,2020
67,68,Вкладчикам Югры в Центробанке не рады,"204,782","5,352",63,News & Politics,2017
68,69,Sporto by Macho | The First Gaze,"52,049,705","1,307",,,2021
69,70,PUN - DAY ONE,"4,669,546","95,387",,Music,2024
70,71,7 dia,"2,943,159","33,263",,Music,2025
71,72,We asked you... What do you Chooze ?,"1,018,713","2,413",12,Autos & Vehicles,2017
72,73,Best Heavyweight Knockouts of All Time,"5,250,458","5,891",509,Sports,2007
73,74,Dog reacts to return of Nathan after two year Mormon mission,"6,040,429","5,972",194,Pets & Animals,2015
74,75,Orangutan loves baby bump,"5,989,058","4,282",282,Music,2016
75,76,Dog scared by fart,"5,938,416","3,883",129,Comedy,2015
76,77,НЕ ПОВЕЗЛО - UNLUCKY,"14,921,437","3,604","1,225",Comedy,2009
77,78,"Visitenkarten, Flyer oder Banner schon ab unter 10€.","4,929,481",3,2,People & Blogs,2017
78,79,we were in love (2024) (... 사랑했잖아... (2024)),"3,630,534","22,217",,Music,2024
79,80,David Beckham crazy pass (cross),"17,275,250","32,362",752,Sports,2008
80,81,LAVIE LOVE LIST | 2019,"10,188,590",9,0,Howto & Style,2019
81,82,Tra Tra Tra,"2,663,550",734,212,Comedy,2007
82,83,The ultimate seduction: Funny & bizarre slideshow,"81,744,457",,,Comedy,2008
83,84,Girl In Car Flashes Her Bra & Then Crashes Into A Truck!,"9,884,005","7,891","2,334",People & Blogs,2009
84,85,Girl blown by a plane,"12,255,456","7,725",745,Travel & Events,2012
85,86,La nevedere,"2,960,493","22,343",,Music,2022
86,87,Why Lands' End Business,"8,393,245",2,,,2021
87,88,KATSEYE - Touch (ft. YEONJUN of TOMORROW X TOGETHER),"2,279,833","168,798",,Music,2024
88,89,Lucio Corsi - Volevo essere un duro (Sanremo 2025),"6,016,657","137,088",,Music,2025
89,90,Storm (Storm),"2,113,438","12,274",,Music,2025
90,91,Barack Obama Hillary Clinton - Umbrella,"148,996,976","36,190","20,698",Comedy,2008
91,92,Nice Fight - Cops vs Drug Dealer,"17,166,129","12,980","3,713",Entertainment,2008
92,93,Uğur Volkan Uysal | Wix.com ile Kendi Sitenizi Kurun,"6,587,447",32,101,People & Blogs,2018
93,94,"[플로우] #오일수스킨 #숨방울스킨  15""","6,354,771",44,38,,2018
94,95,Olivia Rodrigo - drivers license (Official Video),"68,224,979","3,810,456","48,539",Music,2021
95,96,ALYPH - SWIPE (ft. Dato Seri Vida) Official Music Video,"4,645,815","93,750",,Music,2022
96,97,Unleash Your Urban Style,"4,485,529",2,,,2023
97,98,Meineke Financing- 15 Second Commercial,"32,387,918","4,071",,,2020
98,99,"Asake, Central Cee - Wave (Official Video)","10,779,032","287,616",,Music,2024
99,100,JoJo Siwa - Guilty Pleasure (Official Music Video),"3,870,451","39,264",,Music,2024
100,101,Chica Atractiva,"2,638,356","33,875",,Music,2025
101,102,[Dandadan] Creepy Nuts - オトノケ(Otonoke) (Official Music Video),"13,933,735","441,696",,Music,2024
102,103,Jedna fotografija dnevno u najgoroj godini života / One photo a day in the worst year of my life,"61,892,792","32,649","4,045",People & Blogs,2013
103,104,"Grilling Tip, How to Make a Non Stick Surface Part 1","4,702,870",786,51,Howto & Style,2014
104,105,Brock Lesnar serves breakfast in ESPN cafeteria prank | ESPN Archives,"2,472,045","28,842","1,204",Sports,2017
105,106,Top 20. Soundtracks Of All Times!,"3,590,248","2,836","2,542",Music,2007
106,107,Kobe dunks over Shaq in practice (funny),"12,649,333","4,492","1,247",Sports,2006
107,108,Танк Армата,"3,954,302","4,636","1,033",,2015
108,109,CRASH-405,"2,714,140",376,"1,665",Comedy,2006
109,110,"Paragard® - 'Your Hormones, Not Ours'","24,340,652",,,,2022
110,111,All aisles lead to savings. Every day!,"22,029,100",5,,,2023
111,112,Massimo Pericolo - Moneylove (Visual Video) ft. Emis Killa,"3,824,053","36,936",,Music,2023
112,113,Kodak Black - Hit Stick,"2,032,486","87,384",,Music,2024
113,114,German Shepherd scared of Stuffed Toy Tiger. Very Funny! (ORIGINAL VIDEO & VERSION)),"5,352,751","6,997",171,People & Blogs,2015
114,115,Tenacious D - Explosivo,"2,754,518","10,186",204,Entertainment,2006
115,116,Aydem Enerji - Hayat için enerji,"2,003,221",5,1,,2020
116,117,HSMFanNisa Exclusive:High School Musical 2 Song(s)With Lyric,"7,352,624","2,538",256,Music,2007
117,118,Fo fo fo fo fristajlo!,"2,894,700","6,108",152,Comedy,2007
118,119,LILHUDDY - America's Sweetheart (Official Music Video),"3,086,667","346,074","12,082",Music,2021
119,120,Sofia Castro - Bien Por Ti (Official Video),"3,416,695","204,468",,Music,2022
120,121,Sensodent-K | Most random bahana to avoid cold drink | Tooth Mein Current,"4,385,102",52,,,2023
121,122,Sunway College - Pathway To A Brighter Future,"3,829,095",,,,2019
122,123,"Eladio Carrión - Quizás, Tal Vez (Live Session) | Vevo ctrl","4,196,300","56,077",,Music,2023
123,124,Eden Muñoz - ¿CÓMO TE FUE SIN MÍ?,"1,847,580","32,324",,Music,2024
124,125,Emeron Lovely Naturals Sakura,"16,040,649",41,,,2020
125,126,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho","2,224,022,798","9,802,981",,Music,2019
126,127,How NOT to Load a New Ford F-350 Truck on a Trailer,"3,415,700",942,303,People & Blogs,2015
127,128,baby playing in mother's womb !!!!!,"5,806,522","2,810",101,Entertainment,2010
128,129,Cats Welcoming Home Soldiers (parody video),"2,126,930","1,984",259,Comedy,2014
129,130,Hello Osko by BPAY :: 15,"3,763,894",,,,2018
130,131,Coconut crab attacks bird,"2,691,332",785,225,People & Blogs,2017
131,132,Gta sa Kamehameha,"2,420,719",,,Entertainment,2008
132,133,Swimming,"25,671,563","2,240","2,419",People & Blogs,2007
133,134,Ice Spice - in ha mood (Official Video),"3,725,161","160,883",,Music,2023
134,135,„So wie wir Wontis es auch tun.“ - Laura & Jörg Wontorra rufen zum Licht-Recycling auf.💡♻️,"2,596,725",1,,,2023
135,136,"Jay Wheeler, Dei V, Hades66 - Pacto (Official Video) ft. Luar La L","20,502,045","180,683",,Music,2023
136,137,How to fix a small dent,"23,778,413","5,399",419,Education,2010
137,138,Хоккей в фуре - вызов принят!,"1,556,347","2,726","1,433",Sports,2017
138,139,44 Magnum Las Vegas,"2,345,415","7,883",259,People & Blogs,2010
139,140,Miss Carolina - se le salio!,"37,787,055","3,476","10,810",Comedy,2009
140,141,Two guys cause trouble on Ryanair,"2,451,202",697,441,People & Blogs,2016
141,142,Hot Bikini Waxing Girls!,"1,888,388",398,106,People & Blogs,2006
142,143,Bucket Bear better quality,"4,399,693","2,977",117,Pets & Animals,2014
143,144,c`e solo l inter... a farci ridere,"2,136,208","3,379","1,966",Sports,2007
